Line,cont_rating,max_abs_flow,p99_abs_flow,mean_abs_flow,sum_violation,hours_ge_99pct
L176,1326.57776,34.1675,31.379099999999998,19.8579200913242,0.0,0
L177,1326.57776,34.1675,31.379099999999998,19.8579200913242,0.0,0
L178,919.64102,752.682562,622.4934060699999,175.84344637591323,0.0,0
L179,1326.57776,688.065062,614.8692969999998,262.20044507614153,0.0,0
L18,1326.57776,731.888409,554.6232417199999,355.5495093189498,0.0,0
L180,1326.57776,688.065062,614.8692969999998,262.20044507614153,0.0,0
L181,681.21557,467.648509,405.2062846299997,139.8520572510274,0.0,0
L182,681.21557,467.648509,405.2062846299997,139.8520572510274,0.0,0
L183,598.15507,598.15507,518.2871080699996,178.880538343379,0.0,19
L184,681.21557,681.21557,594.0976317399999,138.63298786757989,0.0,29
L185,681.21557,681.21557,594.0976317399999,138.63298786757989,0.0,29
L186,1326.57776,455.360487,440.84515211,142.25571325833334,0.0,0
L187,681.21557,687.574982,681.21557,400.14409067066214,6.434883999999999,1422
L188,1207.06625,2114.847542,1207.06625,578.3828987359589,7681.5426720000005,282
L189,1207.06625,1207.06625,1207.06625,457.72489983093607,0.0,266
L19,1326.57776,731.888409,554.6232417199999,355.5495093189498,0.0,0
L190,1207.06625,904.396782,712.2022145,266.05934941746574,0.0,0
L191,1326.57776,1326.57776,1134.7302739699999,478.82087812203196,0.0,13
L192,681.21557,681.21557,681.21557,633.1283087656392,0.0,6264
L193,1326.57776,1275.591366,1103.7991591399998,742.6846792863013,0.0,0
L194,1326.57776,1312.191466,1097.91881231,569.6446066877853,0.0,0
L195,1326.57776,642.391383,537.49289155,278.87301240856164,0.0,0
L196,1326.57776,1237.21679,1151.80434832,807.7010269517124,0.0,0
L197,1326.57776,515.570764,305.3985763399995,168.86294649406392,0.0,0
L198,1493.89381,1100.229227,651.721283339999,360.35392608904107,0.0,0
L199,1326.57776,816.436784,531.1254496,345.586836248516,0.0,0
L2,1207.06625,1207.06625,1103.3843686799999,442.2213425391553,0.0,50
L20,1326.57776,961.674435,693.4821656699997,420.13872772283105,0.0,0
L200,1326.57776,959.111496,623.94117321,405.97914501255707,0.0,0
L201,1326.57776,959.111496,623.94117321,405.97914501255707,0.0,0
L202,1493.89381,1159.319613,832.2955914499995,240.9614236150685,0.0,0
L203,1493.89381,1493.89381,1413.0877099499994,998.8381429518265,0.0,52
