Generator,unit_type,is_pem,output_mwh,curtailment_mwh,Unit Market Revenue,Unit Uplift Payment,Unit Cost,starts,pmax_mw
191,PV,False,89513.99,0.0,7061668.103754,0.0,,,41.33333333333334
192,WIND,False,1225231.21,0.0,56201515.437309,0.0,,,332.5999964111627
194,WIND,False,562540.939049,129220.870951,7453058.060535,0.0,,,176.4999950015191
196,PV,False,23485.63,0.0,2191491.57234,0.0,,,10.66666666666667
198,PV,False,42184.76,0.0,1170800.640083,0.0,,,20.0
199,WIND,False,396437.66296,116.89704,8618678.461539,0.0,,,129.9999691273388
20,WIND,False,3262401.231955,8184.468045,55212218.916182,0.0,,,780.1999893773013
200,PV,False,73266.263,7.377000000000001,2195644.854279,0.0,,,34.66666666666667
204,WIND,False,2944284.57,0.0,46134264.65877,0.0,,,856.9999804088067
205,WIND,False,3646898.735416,116.914584,56870551.155963,0.0,,,1057.999956964386
206,WIND,False,2671746.668595,9728.341405000001,37471990.864345,0.0,,,1799.800026503209
21,PV,False,261061.2,0.0,4368618.266495,0.0,,,114.3333333333333
210,PV,False,8931.97,0.0,223165.134458,0.0,,,4.333333333333334
214,PV,False,51673.84,96.52000000000001,1517363.156816,0.0,,,25.0
217,PV,False,34355.55,0.0,970500.876622,0.0,,,16.66666666666667
218,PV,False,47410.62,0.0,1339290.026656,0.0,,,23.0
219,PV,False,32293.96,0.0,912262.37959,0.0,,,15.66666666666667
22,PV,False,927794.04,0.0,15525765.795055,0.0,,,406.3333333333334
221,PV,False,27559.42,51.49,809264.130843,0.0,,,13.33333333333333
225,PV,False,25797.22,0.0,632787.202426,0.0,,,12.33333333333333
23,WIND,False,433212.54,0.0,5377264.282251,0.0,,,108.7999815821133
233,PV,False,29474.59,0.0,862279.5751359999,0.0,,,14.33333333333333
236,WIND,False,648318.42,0.0,14266231.210997,0.0,,,530.1000171191179
237,WIND,False,976158.98,0.0,21835940.562082,0.0,,,522.0000272874335
238,PV,False,299782.74,0.0,8405436.005777,0.0,,,136.6666666666667
24,WIND,False,762632.19,0.0,9476634.584789,0.0,,,192.4999756230771
240,PV,False,47092.51,0.0,1314863.332167,0.0,,,22.66666666666667
245,WIND,False,578015.42,0.0,11863035.824431,0.0,,,260.0000216450519
247,WIND,False,765148.54,0.0,17267728.287582,0.0,,,572.4000116113384
248,WIND,False,100393.31,0.0,2250984.209359,0.0,,,52.4000230998023
249,WIND,False,1109825.86,0.0,22780131.793322,0.0,,,500.0000227461816
251,WIND,False,1579287.96,0.0,33866385.763568,0.0,,,1088.000014729177
252,WIND,False,1228929.23,0.0,26682521.798397,0.0,,,890.2000140444867
254,PV,False,66511.49,0.0,1884320.161107,0.0,,,32.0
255,PV,False,30484.61,0.0,863651.350321,0.0,,,14.66666666666667
258,PV,False,58250.01,0.0,1627899.612916,0.0,,,28.0
260,PV,False,23740.71,0.0,680816.842842,0.0,,,11.33333333333333
265,PV,False,288982.82,0.0,7437470.000307,0.0,,,136.6666666666667
266,WIND,False,330806.99,0.0,5160359.508838,0.0,,,96.99998812823829
267,WIND,False,407561.66,0.0,6362839.827481,0.0,,,119.1999881287208
270,WIND,False,1055725.923156,1319785.146844,12218834.126919,0.0,,,578.9999877407346
272,WIND,False,1127463.767997,205493.592003,12045457.835166,0.0,,,501.3000961526271
273,PV,False,36534.437867,68493.092133,1671424.162328,0.0,,,47.66666666666667
274,WIND,False,1545876.14756,1521527.95244,15751712.960944,0.0,,,746.3999877635443
275,WIND,False,2306459.368575,1973765.111425,22771594.264491,0.0,,,1038.999987796685
276,PV,False,21481.17759,2177.31241,502436.033439,0.0,,,10.66666666666667
277,PV,False,24547.21342,4992.44658,836344.300916,0.0,,,13.33333333333333
278,PV,False,39422.788703,7841.341297,1340475.395936,0.0,,,21.33333333333334
279,WIND,False,1295078.43484,137936.32516,17060156.578194,0.0,,,882.0000399863538
281,WIND,False,80628.125869,46586.914131,869000.4364070001,0.0,,,56.099983494724
282,PV,False,961910.882469,198734.837531,5524004.574891,0.0,,,508.3333333333334
283,HYDRO,False,480924.0,0.0,9974782.445961,0.0,,,54.9
284,HYDRO,False,473040.0,0.0,9811261.422263,0.0,,,54.0
285,HYDRO,False,946080.0,0.0,19901185.947275,0.0,,,108.0
286,HYDRO,False,508080.0,0.0,10068708.411089,0.0,,,58.0
287,HYDRO,False,700800.0,0.0,44869861.011669,0.0,,,80.0
288,HYDRO,False,148920.0,0.0,3132594.084328,0.0,,,17.0
289,HYDRO,False,120888.0,0.0,2507322.363407,0.0,,,13.8
29,PV,False,28485.26,0.0,694708.508869,0.0,,,13.33333333333333
290,HYDRO,False,346896.0,0.0,7194925.042987,0.0,,,39.6
291,HYDRO,False,267180.0,0.0,5639253.567247,0.0,,,30.5
292,HYDRO,False,367920.0,0.0,19701401.22517,0.0,,,42.0
30,PV,False,1887396.318629,228404.181371,10227368.161093,0.0,,,926.6666666666669
31,WIND,False,206022.560702,79121.969298,1950214.82761,0.0,,,124.9999837054529
32,PV,False,18222.618368,1368.001632,1690975.662283,0.0,,,9.333333333333334
33,PV,False,10282.04,0.0,300800.378069,0.0,,,5.0
34,PV,False,16450.92,0.0,481276.25752,0.0,,,8.0
35,PV,False,16450.92,0.0,481276.25752,0.0,,,8.0
36,PV,False,41552.37,0.0,1160172.074728,0.0,,,20.0
37,PV,False,19479.11,0.0,543739.355238,0.0,,,9.333333333333334
38,PV,False,25044.65,0.0,699104.392698,0.0,,,12.0
39,PV,False,16696.29,0.0,466061.192593,0.0,,,8.0
40,PV,False,16696.29,0.0,466061.192593,0.0,,,8.0
41,WIND,False,396485.31,0.0,6189263.146324,0.0,,,115.999988072925
42,PV,False,230320.55,0.0,6457829.009892,0.0,,,105.0
43,PV,False,125281.86,0.0,3513232.585868,0.0,,,60.0
46,PV,False,107385.4,0.0,2941929.649568,0.0,,,50.0
52,WIND,False,223910.076237,78474.573763,2067079.340823,0.0,,,132.4999846941916
53,WIND,False,379991.377028,101913.402972,3302843.960729,0.0,,,210.4999834245312
55,WIND,False,1941389.04,0.0,23424963.206032,0.0,,,622.9999845890748
56,PV,False,480227.906144,143857.283856,2929907.073486,0.0,,,273.3333333333334
57,PV,False,398524.108597,195117.601403,2806340.429572,0.0,,,260.0
58,PV,False,932098.654592,209520.045408,5492179.581485,0.0,,,500.0
59,PV,False,887172.738724,235419.351276,5363255.766977,0.0,,,491.6666666666667
63,WIND,False,595555.8,0.0,27544784.250273,0.0,,,169.9999881214527
64,WIND,False,700629.13,0.0,32404145.418551,0.0,,,199.9999881797006
65,WIND,False,190510.57,0.0,4136365.790556,0.0,,,138.0000138498937
67,PV,False,1159413.429395,53436.290605,22535014.002296,0.0,,,533.3333333333334
68,WIND,False,72596.103849,6183.746151,666068.756511,0.0,,,34.00008830590619
69,PV,False,10282.04,0.0,300800.378069,0.0,,,5.0
74,WIND,False,409426.11,0.0,9158346.810245,0.0,,,217.6000261932161
77,WIND,False,619018.718322,6511.531678,5922197.35084,0.0,,,199.9999772775151
78,WIND,False,467348.49696799996,5630.853032,4472239.306315,0.0,,,151.1999769835146
79,WIND,False,269869.607542,3885.172458,2588943.579288,0.0,,,87.49998256511147
80,WIND,False,438497.28136,4152.12864,4186544.29011,0.0,,,141.4999814852966
81,WIND,False,572989.862618,5656.827382,5477109.748284,0.0,,,184.9999773299124
82,WIND,False,404252.706321,3999.083679,3858825.183069,0.0,,,130.4999825838063
83,WIND,False,902518.008945,7299.361055,8610947.152107,0.0,,,290.9999775719367
84,WIND,False,0.0,0.0,0.0,0.0,,,1.808070581387118e-05
86,PV,False,52094.77,0.0,1524027.571243,0.0,,,25.33333333333333
87,PV,False,265956.72,0.0,7780553.48168,0.0,,,129.3333333333333
88,WIND,False,586956.237403,9256.452597,5560352.492058,0.0,,,170.5999841325928
89,WIND,False,562806.810667,10116.369333,5330891.969739,0.0,,,163.9999841055736
9,PV,False,11416.72,0.0,191042.944204,0.0,,,5.0
90,WIND,False,759686.9940599999,11680.21594,7191208.013199,0.0,,,220.199984363153
91,WIND,False,2736802.609534,13937.690466,25723644.386439,0.0,,,785.4999846514534
92,WIND,False,979075.345327,12360.914673,9239131.144505,0.0,,,282.4999844536548
95,WIND,False,419039.42,0.0,28136469.280023,0.0,,,119.9999867619931
96,WIND,False,137132.749335,1884.310665,1929724.51008,0.0,,,99.60002575431464
97,WIND,False,865452.905066,8588.534934,12161875.154675,0.0,,,612.5000265020816
99,WIND,False,80665.72,0.0,1809483.149347,0.0,,,42.00002267048929
