scenario,objective,pair,window_lo,window_hi,median_absdiff_over_floor2,max_absdiff_over_floor2,median_signed_diff
B,total_cost_less_synthetic_usd,nuclear|wind_122,35.675000000000004,200.0,12.817441009100083,18.670087692661284,-17891301.97831911
B,total_cost_less_synthetic_usd,nuclear|wind_303,42.35,200.0,12.347512058759545,18.450524194990468,-17235348.831904948
B,total_cost_less_synthetic_usd,nuclear|wind_317,39.955000000000005,200.0,12.531549146927395,18.49857734606407,-17492238.106236994
B,total_cost_less_synthetic_usd,pv|tail,6.8100000000000005,251.5,2.411455741923494,4.795884633983884,3366044.973834753
B,total_cost_less_synthetic_usd,pv|wind_122,35.675000000000004,272.40000000000003,0.2472738384438728,0.3596430829838659,242517.26928281784
B,total_cost_less_synthetic_usd,pv|wind_303,42.35,272.40000000000003,0.5728383503170854,1.639101360399665,799599.8501579762
B,total_cost_less_synthetic_usd,pv|wind_317,39.955000000000005,272.40000000000003,0.22121121357062512,0.3961661043781318,292623.6730585098
B,total_cost_less_synthetic_usd,tail|wind_122,35.675000000000004,251.5,2.528823540335905,4.50964424724763,-3529873.519832045
B,total_cost_less_synthetic_usd,tail|wind_303,42.35,251.5,2.300568184339382,3.369557268822749,-3211261.9108998775
B,total_cost_less_synthetic_usd,tail|wind_317,39.955000000000005,251.5,2.4528696351429606,4.638212799464293,-3423852.8053013682
B,total_cost_less_synthetic_usd,wind_122|wind_303,42.35,713.5,2.309943600867753,3.4188328758925484,3224348.6423435807
B,total_cost_less_synthetic_usd,wind_122|wind_317,39.955000000000005,713.5,0.24706832719531746,1.4026762243631823,-344871.80771818757
B,total_cost_less_synthetic_usd,wind_303|wind_317,42.35,799.1,2.8510830467783963,5.303481373536954,-3979701.3864907026
C,load_shed_mwh,nuclear|pv,20.0,340.5,0.29995635762859524,0.8557613847420797,1184.9833203687158
C,load_shed_mwh,nuclear|tail,20.0,251.5,0.4650481733333276,0.6265376209082303,3894.8417071699514
C,load_shed_mwh,nuclear|wind_122,35.675000000000004,400.0,1.0316063220055345,1.7192318990909619,8639.843265113639
C,load_shed_mwh,nuclear|wind_303,42.35,400.0,0.5425782349777651,1.0459857540796087,4544.166519022883
C,load_shed_mwh,nuclear|wind_317,39.955000000000005,400.0,0.9829607198669735,1.6808226072656571,8232.429730464915
C,load_shed_mwh,pv|tail,6.8100000000000005,251.5,0.1929575802479143,0.4920638109004035,1616.045980521456
C,load_shed_mwh,pv|wind_122,35.675000000000004,340.5,0.8021862692408452,2.014225304397232,6718.419117666061
C,load_shed_mwh,pv|wind_303,42.35,340.5,0.6174905231988602,1.0530127491279984,5171.567122387747
C,load_shed_mwh,pv|wind_317,39.955000000000005,340.5,0.7620862547555404,2.0657340524501824,6382.576041977773
C,load_shed_mwh,tail|wind_122,35.675000000000004,251.5,0.42089436344786163,1.0978216440782196,3525.0475436111083
C,load_shed_mwh,tail|wind_303,42.35,251.5,0.3867630447151885,0.45697383719769036,3239.193106708626
C,load_shed_mwh,tail|wind_317,39.955000000000005,251.5,0.37613217915273706,1.0983495481088912,3150.158161620744
C,load_shed_mwh,wind_122|wind_303,42.35,713.5,1.3010538628425627,1.826698419170178,-10896.503069675928
C,load_shed_mwh,wind_122|wind_317,39.955000000000005,713.5,0.052926459949002316,0.2762815129018225,162.34170263518536
C,load_shed_mwh,wind_303|wind_317,42.35,799.1,1.2381567855601356,2.0418067950250114,10369.731492222378
C,true_curtailment_mwh,nuclear|pv,20.0,340.5,8.34573811615612,19.62365126541243,-116494.48650639877
C,true_curtailment_mwh,nuclear|tail,20.0,251.5,9.143189695448102,19.632889501063758,-127625.76224862435
C,true_curtailment_mwh,nuclear|wind_122,35.675000000000004,400.0,7.873163853646238,11.538103010724058,-109898.03029353777
C,true_curtailment_mwh,nuclear|wind_303,42.35,400.0,3.0974338691208825,4.204909514122117,43235.71660752734
C,true_curtailment_mwh,nuclear|wind_317,39.955000000000005,400.0,6.12894136159798,7.9899169642726795,-85551.19592897478
C,true_curtailment_mwh,pv|tail,6.8100000000000005,251.5,2.878103714750266,7.283504760637908,-40174.183480899315
C,true_curtailment_mwh,pv|wind_122,35.675000000000004,340.5,2.41113329924228,8.999779600991268,33655.94890282489
C,true_curtailment_mwh,pv|wind_303,42.35,340.5,12.574947115621034,22.652826505384734,175528.1542136505
C,true_curtailment_mwh,pv|wind_317,39.955000000000005,340.5,3.964097072678938,11.913961860493309,55333.086961988825
C,true_curtailment_mwh,tail|wind_122,35.675000000000004,251.5,5.598140793395182,10.382073104699716,78141.98433265288
C,true_curtailment_mwh,tail|wind_303,42.35,251.5,13.441594177553046,23.575205921448028,187625.29925425583
C,true_curtailment_mwh,tail|wind_317,39.955000000000005,251.5,6.851811146708336,12.586749290418352,95641.41721981578
C,true_curtailment_mwh,wind_122|wind_303,42.35,713.5,13.625249852602593,15.309732570850766,190188.86801966745
C,true_curtailment_mwh,wind_122|wind_317,39.955000000000005,713.5,3.0105377903232364,7.271738703398223,42022.77247507789
C,true_curtailment_mwh,wind_303|wind_317,42.35,799.1,9.319700247201133,11.01703518823497,-130089.59538156493
C,total_cost_raw_usd,nuclear|pv,20.0,340.5,8.78105460658603,19.308238523093387,-8717372.422151744
C,total_cost_raw_usd,nuclear|tail,20.0,251.5,9.198784203032721,19.55269273890076,-12840178.152019829
C,total_cost_raw_usd,nuclear|wind_122,35.675000000000004,400.0,8.666365374631177,19.291447222842834,-5586183.743610799
C,total_cost_raw_usd,nuclear|wind_303,42.35,400.0,9.331518726487294,18.625612214339164,-2585791.4187819064
C,total_cost_raw_usd,nuclear|wind_317,39.955000000000005,400.0,8.578552370897901,18.680706789766564,-5032519.9565707445
C,total_cost_raw_usd,pv|tail,6.8100000000000005,251.5,1.1654455542755184,2.4953169743185093,1626794.1733477712
C,total_cost_raw_usd,pv|wind_122,35.675000000000004,340.5,1.3067874035361349,4.031606358412273,-1824087.0421427488
C,total_cost_raw_usd,pv|wind_303,42.35,340.5,0.3071705132600275,1.0572095023177555,-109016.83767217398
C,total_cost_raw_usd,pv|wind_317,39.955000000000005,340.5,0.9866903479774484,3.68351672104365,-1377277.6455318928
C,total_cost_raw_usd,tail|wind_122,35.675000000000004,251.5,2.5048391351709296,4.473342619359191,-3496394.743899137
C,total_cost_raw_usd,tail|wind_303,42.35,251.5,1.353507772462765,2.22926833555947,-1889301.9495810866
C,total_cost_raw_usd,tail|wind_317,39.955000000000005,251.5,2.1332773962059206,4.12535989005391,-2977748.060002357
C,total_cost_raw_usd,wind_122|wind_303,42.35,713.5,3.225643568417462,5.306753075679301,4502533.939185381
C,total_cost_raw_usd,wind_122|wind_317,39.955000000000005,713.5,0.33700519484831404,0.9333404493397499,420688.9574345648
C,total_cost_raw_usd,wind_303|wind_317,42.35,799.1,3.2732353667598724,5.951825748154003,-4568965.236605108
