Date,Hour,committed_mw,num_committed
2019-01-12,10,32813.7,94
2019-01-12,11,32498.1,92
2019-01-12,12,32498.1,92
2019-01-12,13,30535.6,89
2019-01-12,14,29141.2,86
2019-01-12,15,29559.7,88
2019-01-12,16,31881.7,93
2019-01-12,17,36222.3,97
2019-01-12,18,39109.9,101
2019-01-12,19,39109.9,101
2019-01-12,20,39109.9,101
2019-01-12,21,38195.3,100
2019-01-12,22,38195.3,100
2019-01-12,23,35618.5,97
2019-01-13,0,35618.5,97
2019-01-13,1,35210.5,96
2019-01-13,2,37086.7,98
2019-01-13,3,36267.3,98
2019-01-13,4,37265.9,98
2019-01-13,5,38205.5,99
2019-01-13,6,40211.5,101
2019-01-13,7,41945.5,102
2019-01-13,8,42377.5,103
2019-01-13,9,42377.5,103
2019-01-13,10,42377.5,103
2019-01-13,11,39456.9,100
2019-01-13,12,38517.3,99
2019-01-13,13,36721.9,98
2019-01-13,14,34987.9,97
2019-01-13,15,36721.9,98
2019-01-13,16,37661.5,99
2019-01-13,17,42668.5,104
2019-01-13,18,43821.3,105
2019-01-13,19,44903.5,106
2019-01-13,20,44903.5,106
2019-01-13,21,44903.5,106
2019-01-13,22,43530.3,104
2019-01-13,23,41453.7,102
2019-01-14,0,39606.1,101
2019-01-14,1,39174.1,100
2019-01-14,2,38091.9,99
2019-01-14,3,39323.4,101
2019-01-14,4,41390.8,103
2019-01-14,5,49139.2,107
2019-01-14,6,50401.4,109
2019-01-14,7,50401.4,109
2019-01-14,8,50401.4,109
2019-01-14,9,50833.4,110
2019-01-14,10,49751.2,109
2019-01-14,11,45742.8,108
2019-01-14,12,44941.8,107
2019-01-14,13,40751.4,104
2019-01-14,14,38436.9,101
2019-01-14,15,38436.9,101
2019-01-14,16,40751.4,104
2019-01-14,17,47692.8,107
2019-01-14,18,48845.6,108
2019-01-14,19,47906.0,107
2019-01-14,20,48845.6,108
2019-01-14,21,48845.6,108
2019-01-14,22,44837.2,107
2019-01-14,23,41833.6,105
2019-01-15,0,40232.5,103
2019-01-15,1,37728.6,100
2019-01-15,2,37728.6,100
2019-01-15,3,39150.3,102
2019-01-15,4,41001.1,103
2019-01-15,5,46091.7,105
2019-01-15,6,47431.3,107
2019-01-15,7,47431.3,107
2019-01-15,8,47431.3,107
2019-01-15,9,46091.7,105
2019-01-15,10,46179.1,105
2019-01-15,11,44376.9,102
2019-01-15,12,40368.5,101
2019-01-15,13,38573.1,100
2019-01-15,14,36718.9,98
2019-01-15,15,36868.9,99
2019-01-15,16,41180.0,103
2019-01-15,17,45188.4,104
2019-01-15,18,46341.2,105
2019-01-15,19,46341.2,105
2019-01-15,20,46911.2,106
2019-01-15,21,45758.4,105
2019-01-15,22,39446.0,102
2019-01-15,23,36258.0,98
2019-01-16,0,34022.1,95
2019-01-16,1,32334.1,94
2019-01-16,2,31836.2,93
2019-01-16,3,31836.2,93
2019-01-16,4,34100.0,96
2019-01-16,5,39162.1,101
2019-01-16,6,40574.6,103
2019-01-16,7,41656.8,104
2019-01-16,8,41656.8,104
2019-01-16,9,39660.0,102
2019-01-16,10,39660.0,102
2019-01-16,11,37161.9,98
2019-01-16,12,35366.5,97
2019-01-16,13,34442.7,96
2019-01-16,14,31769.1,94
2019-01-16,15,31769.1,94
2019-01-16,16,32708.7,95
2019-01-16,17,37122.8,100
2019-01-16,18,39771.4,102
2019-01-16,19,39771.4,102
2019-01-16,20,39771.4,102
2019-01-16,21,37375.9,100
2019-01-16,22,34504.1,96
2019-01-16,23,31619.1,93
2019-01-17,0,29817.5,91
2019-01-17,1,26818.9,88
2019-01-17,2,26818.9,88
2019-01-17,3,27907.1,89
2019-01-17,4,29457.5,91
2019-01-17,5,34419.7,95
2019-01-17,6,36592.4,98
2019-01-17,7,38029.9,100
2019-01-17,8,38944.5,101
2019-01-17,9,38944.5,101
2019-01-17,10,38944.5,101
2019-01-17,11,37106.1,99
2019-01-17,12,36536.1,98
2019-01-17,13,33491.8,95
2019-01-17,14,32552.2,94
2019-01-17,15,33087.7,95
2019-01-17,16,34883.1,96
2019-01-17,17,39456.7,101
2019-01-17,18,39456.7,101
2019-01-17,19,39456.7,101
2019-01-17,20,39456.7,101
2019-01-17,21,38374.5,100
2019-01-17,22,35596.5,97
2019-01-17,23,32398.3,94
2019-01-18,0,32077.9,92
2019-01-18,1,28369.5,86
2019-01-18,2,28369.5,86
2019-01-18,3,28539.9,87
2019-01-18,4,28539.9,87
2019-01-18,5,33303.2,95
2019-01-18,6,34788.2,95
2019-01-18,7,34788.2,95
2019-01-18,8,34323.8,95
2019-01-18,9,34323.8,95
2019-01-18,10,34323.8,95
2019-01-18,11,31900.4,93
2019-01-18,12,31364.9,92
2019-01-18,13,29751.9,89
2019-01-18,14,30149.7,88
2019-01-18,15,28298.9,87
2019-01-18,16,28298.9,87
2019-01-18,17,31122.5,90
2019-01-18,18,31122.5,90
2019-01-18,19,31371.5,91
2019-01-18,20,31371.5,91
2019-01-18,21,28697.9,89
2019-01-18,22,26637.8,86
2019-01-18,23,23472.4,81
2019-01-19,0,20337.1,76
2019-01-19,1,21951.5,78
2019-01-19,2,22121.0,79
2019-01-19,3,29600.3,90
2019-01-19,4,29600.3,90
2019-01-19,5,31451.1,91
2019-01-19,6,34058.0,95
2019-01-19,7,35792.0,96
2019-01-19,8,38527.0,98
2019-01-19,9,39811.2,100
2019-01-19,10,39811.2,100
2019-01-19,11,38871.6,99
2019-01-19,12,38871.6,99
2019-01-19,13,36386.8,97
2019-01-19,14,34919.3,95
2019-01-19,15,33732.5,94
2019-01-19,16,33300.5,93
2019-01-19,17,37274.0,98
2019-01-19,18,41760.2,103
2019-01-19,19,42842.4,104
2019-01-19,20,42842.4,104
2019-01-19,21,41918.6,103
2019-01-19,22,41257.1,102
2019-01-19,23,41257.1,102
2019-01-20,0,42180.9,103
2019-01-20,1,42590.9,104
2019-01-20,2,42590.9,104
2019-01-20,3,44209.7,106
2019-01-20,4,46024.0,108
2019-01-20,5,48077.8,110
2019-01-20,6,52086.2,111
2019-01-20,7,52086.2,111
2019-01-20,8,51207.8,110
2019-01-20,9,50355.6,109
2019-01-20,10,49202.8,108
2019-01-20,11,42261.4,105
2019-01-20,12,39761.5,102
2019-01-20,13,34722.5,98
2019-01-20,14,31737.1,92
2019-01-20,15,30550.3,91
2019-01-20,16,32819.6,94
2019-01-20,17,37839.0,99
2019-01-20,18,43021.6,105
2019-01-20,19,43021.6,105
2019-01-20,20,42871.6,104
2019-01-20,21,41993.2,103
2019-01-20,22,39043.9,99
2019-01-20,23,37398.5,99
2019-01-21,0,34559.3,96
2019-01-21,1,32602.1,93
2019-01-21,2,32602.1,93
2019-01-21,3,33954.5,95
2019-01-21,4,35413.8,97
2019-01-21,5,38657.4,100
2019-01-21,6,41612.2,103
2019-01-21,7,42526.8,104
2019-01-21,8,42195.1,102
2019-01-21,9,42526.8,104
2019-01-21,10,41612.2,103
2019-01-21,11,38019.4,98
2019-01-21,12,36285.4,97
2019-01-21,13,32271.0,92
2019-01-21,14,29315.1,88
2019-01-21,15,27879.3,86
2019-01-21,16,29586.3,88
2019-01-21,17,33121.4,94
2019-01-21,18,34916.8,95
2019-01-21,19,34916.8,95
2019-01-21,20,34916.8,95
2019-01-21,21,31249.8,92
2019-01-21,22,27842.2,87
2019-01-21,23,27775.2,86
2019-01-22,0,23889.4,79
2019-01-22,1,21027.6,76
2019-01-22,2,22720.0,78
2019-01-22,3,22229.0,80
2019-01-22,4,22670.0,80
2019-01-22,5,26929.8,85
2019-01-22,6,29969.3,89
2019-01-22,7,29969.3,89
2019-01-22,8,30929.4,90
2019-01-22,9,30929.4,90
2019-01-22,10,30393.9,89
2019-01-22,11,30212.2,88
2019-01-22,12,30393.9,89
2019-01-22,13,29590.7,87
2019-01-22,14,31001.9,89
2019-01-22,15,29273.6,88
2019-01-22,16,30497.7,91
2019-01-22,17,33706.8,94
2019-01-22,18,36191.6,96
2019-01-22,19,36341.6,97
2019-01-22,20,36176.0,96
2019-01-22,21,33691.2,94
2019-01-22,22,30907.2,90
2019-01-22,23,28287.8,86
2019-01-23,0,31317.1,91
2019-01-23,1,31482.7,92
2019-01-23,2,30630.5,91
2019-01-23,3,33519.7,94
2019-01-23,4,34451.7,95
2019-01-23,5,43168.7,104
2019-01-23,6,48933.6,110
2019-01-23,7,49611.7,111
2019-01-23,8,49611.7,111
