ruc_date,final_gap_pct,sol_count,status,solve_time_s,ruc_cost
2019-01-27,2.383,10,TIME_LIMIT,131.03422570228577,13659027.94
2019-01-28,2.3161,10,TIME_LIMIT,250.44225001335144,12925486.72
2019-01-29,0.9427,10,OPTIMAL,219.94147658348083,22349849.53
2019-01-30,0.9507,10,OPTIMAL,182.8984968662262,19411405.8
2019-01-31,0.9756,10,OPTIMAL,268.16856622695923,15319430.16
2019-02-01,2.7575,10,TIME_LIMIT,130.8036572933197,11771686.11
2019-02-02,0.9849,5,OPTIMAL,94.44531917572021,8710067.44
2019-02-03,0.9483,2,OPTIMAL,52.71252131462097,6494555.71
2019-02-04,1.0552,10,TIME_LIMIT,610.7440528869629,10403682.79
2019-02-05,0.9401,10,OPTIMAL,125.65523433685303,10001874.1
2019-02-06,0.9858,10,OPTIMAL,322.21665024757385,9173693.36
2019-02-07,0.9641,10,OPTIMAL,308.0148456096649,11043613.8
2019-02-08,0.7247,5,OPTIMAL,112.10073518753052,89331455.52
2019-02-09,0.9957,2,OPTIMAL,51.23626685142517,84043099.36
2019-02-10,0.9995,4,OPTIMAL,145.4912989139557,31363762.83
2019-02-11,1.3516,4,TIME_LIMIT,370.2772624492645,13206224.84
2019-02-12,1.4805,8,TIME_LIMIT,491.5503251552582,13644294.59
2019-02-13,1.2526,10,TIME_LIMIT,252.7592911720276,14424196.56
2019-02-14,1.5898,10,TIME_LIMIT,249.5973243713379,10646640.6
2019-02-15,0.8737,10,TIME_LIMIT,130.1439666748047,10144487.06
2019-02-16,1.3093,9,TIME_LIMIT,249.51757788658142,14543894.58
2019-02-17,1.9586,10,TIME_LIMIT,249.9366114139557,11312423.38
2019-02-18,1.0807,10,TIME_LIMIT,250.03818607330322,14735293.01
2019-02-19,0.9964,10,OPTIMAL,170.64155316352844,23707585.87
2019-02-20,1.1054,10,TIME_LIMIT,371.82504963874817,18417124.74
2019-02-21,1.6411,9,TIME_LIMIT,250.26229548454285,14549833.72
2019-02-22,1.9917,10,TIME_LIMIT,250.70954155921936,14113315.01
2019-02-23,0.7142,8,OPTIMAL,195.24623227119446,9533296.26
