ruc_date,final_gap_pct,sol_count,status,solve_time_s,ruc_cost
2019-02-02,0.9186,4,OPTIMAL,47.57434272766113,8830858.13
2019-02-03,0.9858,2,OPTIMAL,28.615203142166138,6621679.67
2019-02-04,1.0187,10,TIME_LIMIT,348.1317822933197,10523132.74
2019-02-05,0.9087,10,OPTIMAL,70.07079267501831,10166793.35
2019-02-06,0.9913,2,OPTIMAL,138.79597401618958,9307230.4
2019-02-07,0.9796,10,OPTIMAL,78.83305239677429,11230728.91
2019-02-08,0.9927,2,OPTIMAL,38.59312081336975,89567936.3
2019-02-09,0.9995,2,OPTIMAL,10.656261920928955,84148697.66
2019-02-10,0.9878,2,OPTIMAL,103.56449484825134,31528850.2
2019-02-11,0.9241,10,OPTIMAL,287.25128531455994,13372338.72
2019-02-12,0.9719,5,OPTIMAL,240.0859067440033,13720753.32
2019-02-13,0.9299,10,OPTIMAL,146.6867561340332,14485993.32
2019-02-14,0.9877,10,OPTIMAL,214.27426767349243,10776606.13
2019-02-15,0.964,10,OPTIMAL,37.05366635322571,10533650.13
2019-02-16,1.0606,3,TIME_LIMIT,437.4880883693695,14623725.87
2019-02-17,0.9135,9,OPTIMAL,140.26913332939148,11391586.36
2019-02-18,0.8569,10,OPTIMAL,130.64625644683838,14851646.81
2019-02-19,0.9997,2,OPTIMAL,25.70329475402832,22756048.36
2019-02-20,0.9999,10,OPTIMAL,99.97824144363403,18534211.21
2019-02-21,0.9952,9,OPTIMAL,308.6164424419403,14710016.24
2019-02-22,1.7289,10,TIME_LIMIT,245.7106261253357,14272335.08
2019-02-23,0.9301,9,OPTIMAL,41.562796115875244,9696114.29
2019-02-24,1.3028,10,TIME_LIMIT,125.77238869667053,11723534.76
2019-02-25,0.9723,10,OPTIMAL,111.14508032798767,13340993.4
2019-02-26,0.9735,10,OPTIMAL,175.0833511352539,10759376.04
2019-02-27,0.9827,10,OPTIMAL,33.92413306236267,11779691.28
2019-02-28,0.9999,10,OPTIMAL,87.68672299385071,22536117.97
2019-03-01,0.9999,3,OPTIMAL,54.96160817146301,19164871.45
2019-03-02,0.9879,10,OPTIMAL,209.63907766342163,13700401.75
2019-03-03,0.8276,7,OPTIMAL,155.84650564193726,16472873.54
2019-03-04,0.9868,6,OPTIMAL,74.7363178730011,94557553.73
2019-03-05,0.9776,10,OPTIMAL,70.31332802772522,103296393.03
2019-03-06,0.97,6,OPTIMAL,122.4543604850769,36083363.66
2019-03-07,1.4935,10,TIME_LIMIT,125.39057230949402,11712401.52
2019-03-08,0.9785,10,OPTIMAL,308.7825810909271,8742492.84
2019-03-09,0.9907,7,OPTIMAL,70.88270139694214,9540049.08
2019-03-10,0.921,3,OPTIMAL,64.21810817718506,8608010.26
2019-03-11,1.3537,10,TIME_LIMIT,203.57990956306458,10417124.24
2019-03-12,0.9879,5,OPTIMAL,126.12932658195496,10128575.54
2019-03-13,0.993,10,OPTIMAL,59.13574528694153,9645795.78
2019-03-14,0.8329,10,OPTIMAL,57.064422845840454,8712749.17
2019-03-15,0.9769,3,OPTIMAL,147.38563179969788,11202477.55
