Line,cont_rating,max_abs_flow,p99_abs_flow,mean_abs_flow,sum_violation,hours_ge_99pct
L179,1326.57776,693.966224,614.2794084399999,263.5146366627854,0.0,0
L18,1326.57776,730.916261,554.6232417199999,355.3326675505708,0.0,0
L180,1326.57776,693.966224,614.2794084399999,263.5146366627854,0.0,0
L181,681.21557,467.648509,400.27585704999996,140.189429878653,0.0,0
L182,681.21557,467.648509,400.27585704999996,140.189429878653,0.0,0
L183,598.15507,598.15507,511.98074741,179.3120614714612,0.0,13
L184,681.21557,681.21557,596.5252299599998,140.24004303652967,0.0,42
L185,681.21557,681.21557,596.5252299599998,140.24004303652967,0.0,42
L186,1326.57776,455.360487,440.32596284,142.39354499828767,0.0,0
L187,681.21557,681.249335,681.21557,396.8035634208904,0.041616,1409
L188,1207.06625,2114.847542,1207.06625,580.6818277434932,7738.3428380000005,295
L189,1207.06625,1207.06625,1207.06625,459.2988390490868,0.0,275
L19,1326.57776,730.916261,554.6232417199999,355.3326675505708,0.0,0
L190,1207.06625,910.841537,713.95505569,264.93571656232876,0.0,0
L191,1326.57776,1326.57776,1144.3468956399997,481.66097574360725,0.0,15
L192,681.21557,681.21557,681.21557,632.2231271770548,0.0,6259
L193,1326.57776,1273.193291,1102.7316749699999,743.9694143221461,0.0,0
L194,1326.57776,1312.191466,1112.2543845199998,568.6684369622146,0.0,0
L195,1326.57776,642.391383,544.5109584999999,278.39512253413244,0.0,0
L196,1326.57776,1249.388879,1154.7214727199998,812.2540960760274,0.0,0
L197,1326.57776,517.390827,307.52966993999996,164.89091877694062,0.0,0
L198,1493.89381,1104.113247,656.2690422799999,351.8776096247717,0.0,0
L199,1326.57776,818.611923,531.1254496,340.577914856621,0.0,0
L2,1207.06625,1207.06625,1085.0106716499997,438.8843568455479,0.0,50
L20,1326.57776,961.674435,693.4821656699997,421.53634634726023,0.0,0
L200,1326.57776,961.666747,623.94117321,400.0948999787671,0.0,0
L201,1326.57776,961.666747,623.94117321,400.0948999787671,0.0,0
L202,1493.89381,1175.536465,809.1977350299996,238.36005005936073,0.0,0
L203,1493.89381,1493.89381,1419.64944085,1002.4759797831051,0.0,55
L204,919.64102,273.234817,267.43883144,197.51056919646118,0.0,0
L205,681.21557,681.21557,666.7653056999999,492.4236108651827,0.0,52
L206,681.21557,681.21557,666.7653056999999,492.4236108651827,0.0,52
L207,681.21557,681.21557,666.7653056999999,492.4236108651827,0.0,52
L208,1326.57776,812.411937,487.5284996099998,258.970864105137,0.0,0
L209,1326.57776,812.411937,487.5284996099998,258.970864105137,0.0,0
L21,1326.57776,749.395144,537.48629937,347.09186799703195,0.0,0
L210,1326.57776,798.386739,708.2833225999997,316.49600095262554,0.0,0
L211,1326.57776,1087.772201,965.0096509099996,431.2140152068493,0.0,0
L212,1326.57776,1087.772201,965.0096509099996,431.2140152068493,0.0,0
